Year,Account,Bundle,Total_Amount,Total_Orders,Avg_Order_Value,Segment
2023,New Hampshire Electric,Sierra Wireless,3803.65,1,3803.65,Needs Nurture
2023,Nokia,Other,11886.0,2,5943.0,Champions
2023,Nomad Solutions/Apex,Cambium Networks,104441.6,3,34813.86666666667,Champions
2023,Norfolk Southern,Cambium Networks,909630.64,12,75802.55333333333,Champions
2023,Norfolk Southern,Other,167671.74,7,23953.10571428572,Champions
2023,Norfolk Southern,Site Infrastructure,208048.42,3,69349.47333333334,Champions
2023,"North Shore Energy, LLC",Sierra Wireless,971.54,1,971.54,Promising/New
2023,North Slope Telecom,Sierra Wireless,650.61,1,650.61,One-time/Low Value
2023,NorthPoint Development,Sierra Wireless,543.7,1,543.7,Promising/New
2023,Occidental Petroleum,Cambium Networks,2887586.27,17,169858.0158823529,Champions
2023,Occidental Petroleum,Other,5697.93,2,2848.965,Needs Nurture
2023,Occidental Petroleum,Site Development,16942.87,2,8471.435,Big Spenders
2023,Occidental Petroleum,Site Infrastructure,84133.62,8,10516.7025,Champions
2023,Ocean State Signal,Sierra Wireless,567.2,1,567.2,One-time/Low Value
2023,Oceaneering,Cambium Networks,33026.0,1,33026.0,Needs Nurture
2023,One Atlas,Sierra Wireless,307.32,1,307.32,One-time/Low Value
2023,PA American Water,Other,764.25,1,764.25,One-time/Low Value
2023,PA American Water,Sierra Wireless,78315.26000000001,19,4121.855789473685,Champions
2023,PDS Solutions,Sierra Wireless,360.66,1,360.66,One-time/Low Value
2023,PS Electric LLC,Sierra Wireless,11344.0,2,5672.0,Big Spenders
2023,Parsons,Sierra Wireless,29637.5,1,29637.5,Big Spenders
2023,Pearce-Renewables,Sierra Wireless,739.55,1,739.55,One-time/Low Value
2023,Pennsylvania Solar Company,Sierra Wireless,329.44,1,329.44,Promising/New
2023,Peoria Heights,Sierra Wireless,32416.2,1,32416.2,Needs Nurture
2023,Peraton,Sierra Wireless,7781.71,1,7781.71,Promising/New
2023,Perceptive Controls,Sierra Wireless,4148.39,4,1037.0975,Loyal
2023,Perimeter Protection Security Solutions,Sierra Wireless,5597.1,1,5597.1,Promising/New
2023,Pertech,Sierra Wireless,1367.21,1,1367.21,Promising/New
2023,Petra Consultants,Sierra Wireless,650.0,1,650.0,One-time/Low Value
2023,Phantom Technical,Sierra Wireless,346.99,1,346.99,One-time/Low Value
2023,"Phillips Southern Electric Co., Inc.",Sierra Wireless,5302.55,1,5302.55,Needs Nurture
2023,Pioneer Cellular,Other,3683.29,1,3683.29,Needs Nurture
2023,Pioneer Cellular,Sierra Wireless,44936.86,2,22468.43,At Risk
2023,Pioneer Electric Coop,Sierra Wireless,11880.06,1,11880.06,Needs Nurture
2023,Power Share Cooperative,Sierra Wireless,650.61,1,650.61,One-time/Low Value
2023,Powershare Energy Cooperative,Sierra Wireless,650.61,1,650.61,One-time/Low Value
2023,Powersouth Energy Cooperative,Cambium Networks,30700.94,6,5116.823333333334,Champions
2023,Powersouth Energy Cooperative,Sierra Wireless,501.02,1,501.02,Promising/New
2023,Preferred Communications,Sierra Wireless,803.84,1,803.84,One-time/Low Value
2023,"Quality Controls, Inc.",Sierra Wireless,650.61,1,650.61,Promising/New
2023,ROCS Transit,Sierra Wireless,2052.43,1,2052.43,One-time/Low Value
2023,Railpower Tech LLC,Sierra Wireless,1951.83,1,1951.83,One-time/Low Value
2023,Ramboll,Other,211.5,1,211.5,One-time/Low Value
2023,Ramboll,Sierra Wireless,741.36,2,370.68,At Risk
2023,Ranger Excavating,Sierra Wireless,300.0,1,300.0,One-time/Low Value
2023,Rappahannock Electric Cooperative,Sierra Wireless,3424.62,1,3424.62,Needs Nurture
2023,Reliance Test & Technology (Formerly InDyne) Eglin,Cambium Networks,37537.4,1,37537.4,Needs Nurture
2023,Rock River Service,Sierra Wireless,1312.02,1,1312.02,One-time/Low Value
2023,"Rockcliff Energy, LLC",Sierra Wireless,19128.8,3,6376.266666666666,Champions
2023,Rocket Technologies,Sierra Wireless,910.97,1,910.97,Promising/New
2023,Rohde & Schwarz,Ciena,19099.54,3,6366.513333333333,Champions
2023,Rolls Royce,Other,3027.24,1,3027.24,Needs Nurture
2023,Santee Cooper,Cambium Networks,23135.12,4,5783.78,Champions
2023,Shenandoah Valley Electric CO-OP,Cambium Networks,103.76,1,103.76,One-time/Low Value
2023,Shenandoah Valley Electric CO-OP,Ericsson,459.75,1,459.75,One-time/Low Value
2023,Shenandoah Valley Electric CO-OP,Sierra Wireless,35831.9,2,17915.95,Big Spenders
2023,Smart Sky Networks,Ceragon Networks,33608.09,6,5601.348333333332,At Risk
2023,Solar Security,Sierra Wireless,1322.02,1,1322.02,One-time/Low Value
2023,Sonavex,Sierra Wireless,3891.7,2,1945.85,Loyal
2023,Sondhi Solutions,Sierra Wireless,1392.94,1,1392.94,Promising/New
2023,South Florida Water management district,Cambium Networks,15037.63,2,7518.815,Big Spenders
2023,Southern Company,Cambium Networks,50168.93,9,5574.325555555555,Champions
2023,Southern Electrical Equipment Co.,Sierra Wireless,1567.34,1,1567.34,One-time/Low Value
2023,"Southern Flow, Inc.",Sierra Wireless,5201.05,2,2600.525,Loyal
2023,Southwest Gas Corp.,Other,2603.62,1,2603.62,One-time/Low Value
2023,Space Force,Cambium Networks,125000.0,1,125000.0,Needs Nurture
2023,Specialist Commercial Solutions,Cambium Networks,6361.52,1,6361.52,Needs Nurture
2023,Specialist Commercial Solutions,Cradlepoint,12727.65,3,4242.55,Champions
2023,Square Robot,Sierra Wireless,696.49,1,696.49,One-time/Low Value
2023,St. Tammany Parish,Cradlepoint,102355.0,1,102355.0,Needs Nurture
2023,Strategic Maintenance Solutions,Sierra Wireless,2453.51,1,2453.51,One-time/Low Value
2023,"Sumaria Systems, LLC",Cambium Networks,39120.32,1,39120.32,Big Spenders
2023,Summit Utilities,Sierra Wireless,22056.0,2,11028.0,Big Spenders
2023,Symspire,Sierra Wireless,1935.81,1,1935.81,One-time/Low Value
2023,Systems Control,Cambium Networks,10656.01,1,10656.01,Needs Nurture
2023,TICO Technical,Sierra Wireless,855.6,1,855.6,One-time/Low Value
